,country_name,party_name_english,party_name_parlgov
573,United Kingdom,Communist Party of Great Britain,
574,United Kingdom,Coalition Conservative,
575,United Kingdom,Coalition Labour,
576,United Kingdom,Coalition Liberal,
577,United Kingdom,Conservatives,
578,United Kingdom,Democratic Unionist Party,Democratic Unionist Party
579,United Kingdom,English Democrats,
580,United Kingdom,Pro-Euro Conservative Party,Conservative Party
581,United Kingdom,Green Party,
582,United Kingdom,An Independence from Europe,
583,United Kingdom,Independent Liberal,
584,United Kingdom,Independent Labour Party,
585,United Kingdom,Labour,
586,United Kingdom,Liberals,
587,United Kingdom,Nationalist Party,
588,United Kingdom,National Democratic and Labour Party ,Social Democratic and Labour Party
589,United Kingdom,National Front,
590,United Kingdom,National Labour Organisation,
591,United Kingdom,National Liberal Party,
592,United Kingdom,NO2EU -- Yes to Democracy,
593,United Kingdom,National Party,
594,United Kingdom,National,
595,United Kingdom,Nationals,
596,United Kingdom,Plaid Cymru,
597,United Kingdom,Respect -- The Unity Coalition,
598,United Kingdom,Referendum Party,
599,United Kingdom,Republican Labour Party,
600,United Kingdom,Social Democratic and Labour Party,Social Democratic and Labour Party
601,United Kingdom,Social Democratic Party,Social Democratic Party
602,United Kingdom,Sinn Fein,
603,United Kingdom,Socialist Labour Party,
604,United Kingdom,Scottish National Party,Scottish National Party
605,United Kingdom,Unity,
606,United Kingdom,United Kingdom Independence Party,United Kingdom Independence Party
607,United Kingdom,Ulster Popular Unionist Party,Ulster Unionist Party
608,United Kingdom,Ulster Unionist Party,Ulster Unionist Party
609,United Kingdom,United Ulster Unionist Coalition,
610,United Kingdom,Vanguard Unionist Progressive Party,
611,United Kingdom,others,
612,United Kingdom,no seat,
613,United Kingdom,no party affiliation,
614,United Kingdom,one seat,
720,Ireland,Business and Professional Group,
721,Ireland,Society of the Gaels,
722,Ireland,Cork Progressive Association,
723,Ireland,Republican Party,Republican Party
724,Ireland,Party of the Land,Party of the Land
725,Ireland,Direct Democracy Ireland,
726,Ireland,Democratic Left,Democratic Left Party
727,Ireland,Social Democrats ,Social Democrats
728,Ireland,Democratic Socialist Party,
729,Ireland,Fianna Fail,
730,Ireland,Fine Gael (Familiy of the Irish),
731,Ireland,Farmers' Party,
732,Ireland,Green Party,Green Party
733,Ireland,Anti H-Block,
734,Ireland,Independent -- Luke Flanagan,
735,Ireland,Independent -- Marian Harkin,
736,Ireland,Independent -- Nessa Childers,
737,Ireland,Independent -- Pat Cox,
738,Ireland,Independent -- Thomas (TJ) Maher,
739,Ireland,Independent Alliance,Independent Alliance
740,Ireland,Independents 4 Change,
741,Ireland,Independent Fianna Fail,
742,Ireland,Irish Worker League,
743,Ireland,Labour Party,Labour Party
744,Ireland,Libertas Ireland,
745,Ireland,National Centre Party,
746,Ireland,National Labour Party,
747,Ireland,National League Party,
748,Ireland,National Party,
749,Ireland,National Progressive Democrats,Progressive Democrats
750,Ireland,People Before Profit Alliance,People Before Profit Alliance
751,Ireland,Progressive Democrats,Progressive Democrats
752,Ireland,Renua Ireland,
753,Ireland,Sinn Fein,
754,Ireland,Sinn Fein The Workers' Party,
755,Ireland,Socialist Party,Socialist Party
756,Ireland,no seat,
757,Ireland,no party affiliation,
758,Ireland,one seat,
1155,Malta,Democratic Alternative,
1156,Malta,Democratic Action Party,
1157,Malta,Gozo Party,
1158,Malta,Imperium Europa,
1159,Malta,Jones Party,
1160,Malta,Malta Workers' Party,
1161,Malta,Democratic Nationalist Party,
1162,Malta,Christian Workers' Party,
1163,Malta,Constitutionalist Party,
1164,Malta,Progressive Constitutionalist Party,
1165,Malta,Malta Labour Party,Labour Party
1166,Malta,Nationalist Party,Nationalist Party
1167,Malta,no seat,
1168,Malta,no party affiliation,
228,Cyprus,Democratic Socialist Renewal Movement,
229,Cyprus,Fighting Democratic Movement,
230,Cyprus,Progressive Party of Working People,Progressive Party of the Working People
231,Cyprus,Democratic Party,Democratic Party
232,Cyprus,Democratic Rally,Democratic Party
233,Cyprus,United Democrats,
234,Cyprus,Movement for Social Democracy EDEK,
235,Cyprus,European Party,European Party
236,Cyprus,National Popular Front,National Popular Front
237,Cyprus,Union Centre,
238,Cyprus,For Europe,
239,Cyprus,Greek,
240,Cyprus,Independent -- Sener Levent,
241,Cyprus,Free Citizens Movement,
242,Cyprus,Animal Party Cyprus,
243,Cyprus,Solidarity Movement,Solidarity Movement
244,Cyprus,Ecological and Environmental Movement,Ecological and Environmental Movement
245,Cyprus,Liberal Party,Liberal Party
246,Cyprus,Message of Hope,
247,Cyprus,New Democratic Front,
248,Cyprus,New Horizons,
249,Cyprus,Pancypriot Militant Front,
250,Cyprus,Citizen's Alliance,Citizens' Alliance
251,Cyprus,Turkish,
252,Cyprus,no party affiliation,
253,Cyprus,to be coded,
174,Canada,Bloc Populaire Canadien,
175,Canada,Quebec Bloc,Quebec Bloc
176,Canada,Co-operative Commonwealth Federation | New Democratic Party,
177,Canada,Conservative Party of Canada,Conservative Party of Canada
178,Canada,Communist (Labour-Progressive) Party,
179,Canada,Green Party of Canada,
180,Canada,Labour Party,
181,Canada,Liberal-Progressive,
182,Canada,Liberal-Labour,
183,Canada,Liberal Party of Canada,Liberal Party of Canada
184,Canada,National Party of Canada,Liberal Party of Canada
185,Canada,Progressive Conservative Party of Canada,Progressive Conservative Party
186,Canada,Progressive Party of Canada,
187,Canada,Rhinoceros Party,
188,Canada,Reconstruction Party of Canada,
189,Canada,Reform Party of Canada,Reform Party of Canada
190,Canada,Social Credit Rally,Social Credit
191,Canada,Social Credit Party of Canada,
192,Canada,Union of Electors,
193,Canada,others,
194,Canada,no seat,
195,Canada,no party affiliation,
0,Australia,Australian Country Party (Vic),
1,Australia,Australian Democrats,Australian Democrats
2,Australia,Australian Greens,Australian Greens
3,Australia,Australian Labor Party,Australian Labor Party
4,Australia,Australia Party,Australian Labor Party
5,Australia,Coalition,
6,Australia,Christian Democratic Party,
7,Australia,Commonwealth Liberal Party,
8,Australia,Country-National Party (Qld),
9,Australia,Communist Party of Australia,
10,Australia,Country Progressive Party (Vic),
11,Australia,Country Liberal Party,Country Liberal Party
12,Australia,Democratic Labour Party,Democratic Labor Party
13,Australia,Emergency Committee (SA),
14,Australia,Family First Party,
15,Australia,Farmers and Settlers (NSW),
16,Australia,Free Trade Party,
17,Australia,Independet Nationalist,
18,Australia,Independent Protectionist Party (Vic),
19,Australia,Independent UAP (NSW),
20,Australia,Katter's Australian Party,Katter's Australian Party
21,Australia,Liberal and Country League,
22,Australia,Liberal Country Party (Vic),
23,Australia,Liberal Democratic Party (New South Wales),
24,Australia,Lang Labour Party,
25,Australia,Liberal National Party of Queensland,Liberal National Party of Queensland
26,Australia,Liberal Party,
27,Australia,Liberal Party of Australia,Liberal Party of Australia
28,Australia,Nationalist Party of Australia,National Party of Australia
29,Australia,Nationalist,
30,Australia,National (Country) Party | National Party of Australia,
31,Australia,Nationalist and Farmers (NSW),
32,Australia,National Labor,
33,Australia,Nick Xenophon Team,Nick Xenophon Team
34,Australia,One Nation Party,
35,Australia,One Parliament for Australia,
36,Australia,Protectionist Party,
37,Australia,Palmer United Party,Palmer United Party
38,Australia,Queensland Country Party,
39,Australia,Social Credit Party,
40,Australia,State Labor Party (NSW),
41,Australia,Services Party of Australia,
42,Australia,United Australia Party,
43,Australia,Victorian Country Party,
44,Australia,Victorian Farmers' Union,
45,Australia,Western Australian Party,Katter's Australian Party
46,Australia,no seat,
47,Australia,no party affiliation,
48,Australia,one seat,
1245,New Zealand,Alliance,The Alliance
1246,New Zealand,ACT New Zealand,ACT New Zealand
1247,New Zealand,Aotearoa Legalise Cannabis Party,
1248,New Zealand,Christian Democrat Party,
1249,New Zealand,Christian Heritage Party of New Zealand,
1250,New Zealand,Conservatice Party of New Zealand,
1251,New Zealand,Communist Party of New Zealand,
1252,New Zealand,Country Party,
1253,New Zealand,Democratic Labour Party,
1254,New Zealand,Democrat Party,
1255,New Zealand,Green Party,
1256,New Zealand,Labour Party,
1257,New Zealand,Maori Party,Māori Party
1258,New Zealand,Mana Party,Mana Party
1259,New Zealand,New Labour Party,New Zealand Labour Party
1260,New Zealand,National Party,
1261,New Zealand,New Zealand First Party,New Zealand First Party
1262,New Zealand,New Zealand Liberal Party,New Zealand First Party
1263,New Zealand,New Zealand Party,New Zealand First Party
1264,New Zealand,Outdoor Recreation New Zealand,
1265,New Zealand,Progressive Party,Progressive Party
1266,New Zealand,Ratana Movement,
1267,New Zealand,Reform Party,
1268,New Zealand,Social Credit | Democratic Party,
1269,New Zealand,Social Democratic Party,
1270,New Zealand,The Opportunities Party,
1271,New Zealand,United Future New Zealand,United Future New Zealand
1272,New Zealand,United New Zealand,United Future New Zealand
1273,New Zealand,Values Party,
1274,New Zealand,others,
1275,New Zealand,no seat,
1276,New Zealand,no party affiliation,
978,Japan,Cooperative Party,
979,Japan,Democratic Party,Social Democratic Party
980,Japan,Democratic Party of Japan,Democratic Party of Japan
981,Japan,Democratic Reform Party,
982,Japan,Democratic Socialist Party,Democratic Socialist Party
983,Japan,Happiness Realization Party,
984,Japan,Independent's Club,
985,Japan,Japan Communist Party,Japanese Communist Party
986,Japan,Japan Democratic Party,Social Democratic Party
987,Japan,Japan Liberal Party,Liberal Party
988,Japan,Japan New Party,Japan New Party
989,Japan,Japan Renewal Party,Japan Renewal Party
990,Japan,Japan Restoration Party,Japan Restoration Party
991,Japan,Japan Socialist Party,Japan Socialist Party
992,Japan,Komeito Party,
993,Japan,Constitutional Democratic Party of Japan,Social Democratic Party of Japan
994,Japan,Liberal Democratic Party,Liberal Democratic Party
995,Japan,Labour Farmer Party,
996,Japan,Liberal League,Liberal League
997,Japan,Liberal Party,Liberal Party
998,Japan,Liberal Party (Hatoyama),
999,Japan,Left Wing Socialist Party,
1000,Japan,New Conservative Party,New Conservative Party
1001,Japan,National Cooperative Party,
1002,Japan,New Frontier Party,New Frontier Party
1003,Japan,New Liberal Club,New Liberal Club
1004,Japan,New Party Daichi,
1005,Japan,New Party Nippon,New Party Nippon
1006,Japan,New Party Sakigake,
1007,Japan,Party for Future Generations,Party for Future Generations
1008,Japan,Party of Hope,
1009,Japan,People's Life First Party,People's Life Party
1010,Japan,People's New Party,People's New Party
1011,Japan,Peace and Reform,
1012,Japan,Right Wing Socialist Party,
1013,Japan,Socialist Democratic Federation,Social Democratic Federation
1014,Japan,Social Reform Party,
1015,Japan,Your Party,Your Party
1016,Japan,others,
1017,Japan,no seat,
1018,Japan,no party affiliation,
1019,Japan,one seat,
1020,Japan,vacancy,
801,Israel,One Nation,One Nation
802,Israel,Labour Unity,
803,Israel,Union of Israel,Union of Israel
804,Israel,Green Leaf,
805,Israel,Whole Nation,
806,Israel,Future,
807,Israel,National Democratic Assembly,National Democratic Assembly
808,Israel,Banner of the Torah,
809,Israel,The Third Way,The Third Way
810,Israel,Flatto-Sharon,
811,Israel,Bridge,
812,Israel,Pensioners of Israel,Union of Israel
813,Israel,United Religious Front,
814,Israel,Religious Torah Front,Religious Torah Front
815,Israel,Mizrachi Workers,
816,Israel,Yemenite Association,
817,Israel,Alignment | Labor,
818,Israel,Agriculture and Development,
819,Israel,The Greens,
820,Israel,National Union,National Union
821,Israel,Sia'at Ha'Atzma'ut,
822,Israel,The Movement,The Movement
823,Israel,Herut -- The National Movement,
824,Israel,Freedom Party,
825,Israel,Communist Party | Moked | Sheli,
826,Israel,Progress and Development,
827,Israel,Thus,
828,Israel,Forward,Forward
829,Israel,Progress and Work,
830,Israel,All of Us,All of us
831,Israel,The Consolidation,The Consolidation
832,Israel,Independent Liberals,
833,Israel,Homeland,Homeland
834,Israel,New Liberal Party,Liberal Party
835,Israel,Progressive Party,
836,Israel,Arab Democratic Party,
837,Israel,National Religious Party,National Religious Party
838,Israel,United Workers Party,United Workers’ Party
839,Israel,Free Centre,Free Centre
840,Israel,Meimad,
841,Israel,Energy,
842,Israel,Centre Party,Center Party
843,Israel,Liberal Party,Liberal Party
844,Israel,Spiritual Centre,
845,Israel,Heritage,Heritage
846,Israel,Courage,Courage
847,Israel,Strength to Israel,
848,Israel,This World -- New Force,
849,Israel,Agudat Israel Workers,Agudat Israel Workers
850,Israel,Arab List for Bedouin and Villagers,
851,Israel,United Arab List -- 1977,United Arab List
852,Israel,Democratic List for Israeli Arabs,
853,Israel,Democratic List of Nazareth,
854,Israel,National List,
855,Israel,United Arab List,United Arab List
856,Israel,Israeli Workers List,Israel Workers’ List
857,Israel,Movement for Civil Rights and Peace,
858,Israel,Fighters List,
859,Israel,Progressive List for Peace,Progressive List for Peace
860,Israel,New Communist List | Democratic Front,
861,Israel,Cooperation and Brotherhood,
862,Israel,Sephardim and Oriental Communities,
863,Israel,Peace-Zion,
864,Israel,Sfarad's guards of the Torah,
865,Israel,Change,Change
866,Israel,Democratic Movement for Change,Democratic Movement for Change
867,Israel,Movement for the Renewal of Social Zionism,
868,Israel,Arab Movement for Renewal,
869,Israel,Movement for the Heritage of Israel,
870,Israel,Revival,
871,Israel,Momentum,
872,Israel,Crossroads,
873,Israel,Women's International Zionist Organization,
874,Israel,There is a Future,There is a Future
875,Israel,Israel is Our Home,Israel is Our Home
876,Israel,Israel for Immigration,Israel for Immigration
877,Israel,United Torah Judaism,United Torah Judaism
878,Israel,Together,Together
879,Israel,Together,Together
880,Israel,Mission,
881,Israel,General Zionists,General Zionists’
882,Israel,others,
883,Israel,no seat,
884,Israel,no party affiliation,
885,Israel,one seat,
1529,Turkey,Justice and Development Party,Justice and Development Party
1530,Turkey,Motherland Party,Motherland Party
1531,Turkey,Great Union Party,
1532,Turkey,Democratic Left Party,Democratic Left Party
1533,Turkey,Democratic Turkey Party,Democratic Turkey Party
1534,Turkey,Right Path Party,
1535,Turkey,Young Party,
1536,Turkey,People's Democracy Party,Peoples' Democratic Party
1537,Turkey,Peoples' Democratic Party,Peoples' Democratic Party
1538,Turkey,Nationalist Democratic Party,Nationalist Democratic Party
1539,Turkey,National Action Party,National Action Party
1540,Turkey,Welfare (Virtue) Party,
1541,Turkey,Social Democratic Populist Party | Republican People's Party,
1542,Turkey,Felicity Party,
1543,Turkey,New Turkey Party,
1544,Turkey,no seat,
1545,Turkey,no party affiliation,
122,Bulgaria,Alternative for Bulgarian Revival,Alternative for Bulgarian Revival
123,Bulgaria,Attack,
124,Bulgaria,Bulgarian Business Bloc,Bulgarian Business Bloc
125,Bulgaria,Bulgaria Without Censorship,Bulgaria without Censorship
126,Bulgaria,Euro-Left Coalition,Euroleft Coalition
127,Bulgaria,Bulgaria for Citizens Movement,
128,Bulgaria,Bulgarian National Radical Party,
129,Bulgaria,Bulgarian People's Union,Bulgarian People's Union
130,Bulgaria,Bulgarian Socialist Party,Bulgarian Socialist Party
131,Bulgaria,"Bulgarian Agrarian National Union -- ""Nikola Petkov""",
132,Bulgaria,Center-Freedom and Dignity,
133,Bulgaria,Movement 21,
134,Bulgaria,Democratic Alternative for the Republic,
135,Bulgaria,"Yes, Bulgaria!",
136,Bulgaria,George's Day Movement,
137,Bulgaria,"Democrats for Responsibility, Solidarity and Tolerance",
138,Bulgaria,Democratic Party,
139,Bulgaria,Movement for Rights and Freedoms,Movement for Rights and Freedoms
140,Bulgaria,Democrats for a Strong Bulgaria,Democrats for a Strong Bulgaria
141,Bulgaria,Euroroma,
142,Bulgaria,Kingdom of Bulgaria Confederation,
143,Bulgaria,Citizens for European Development of Bulgaria,Citizens for European Development of Bulgaria
144,Bulgaria,People's Voice,
145,Bulgaria,Communist Party of Bulgaria,
146,Bulgaria,Coalition of the Rose,
147,Bulgaria,Simeon II Coalition,
148,Bulgaria,Coalition for Bulgaria | Democratic Left,
149,Bulgaria,Lider,
150,Bulgaria,National Movement Simeon II,National Movement Simeon the Second
151,Bulgaria,National Front for the Salvation of Bulgaria,
152,Bulgaria,New Times,
153,Bulgaria,United Democratic Forces,United Democratic Forces
154,Bulgaria,Union for National Salvation,Union of National Salvation
155,Bulgaria,Union for Tzar [Simeon II],
156,Bulgaria,Party of Bulgarian Social Democrats,
157,Bulgaria,"Political Club ""Ecoglasnost""",Political Club ‘Ekoglasnost'
158,Bulgaria,Patriotic Union,
159,Bulgaria,Revival,
160,Bulgaria,Reformist Bloc,Reformist bloc
161,Bulgaria,"Order, Lawfulness and Justice","Order, Law and Justice"
162,Bulgaria,Union of Democratic Forces,Union of Democratic Forces
163,Bulgaria,Union of Democratic Forces -- Liberal,Union of Democratic Forces
164,Bulgaria,Union of Democratic Forces -- Centre,Union of Democratic Forces
165,Bulgaria,Blue Coalition,Blue Coalition
166,Bulgaria,"""New Choice"" Union",
167,Bulgaria,IMRO -- Bulgarian National Movement,
168,Bulgaria,Will,Will
169,Bulgaria,Agrarian People's Union,Bulgarian People's Union
170,Bulgaria,Green Party of Bulgaria,
171,Bulgaria,"Agrarian Union ""Aleksandar Stamboliyski""",
172,Bulgaria,no party affiliation,
173,Bulgaria,to be coded,
658,Croatia,Youth Action,
659,Croatia,Croatian Labourists -- Labour Party,Croatian Labourists - Labour Party
660,Croatia,Democratic Centre,
661,Croatia,Croatian Bloc,
662,Croatia,Croatian Democratic Peasant Party,Croatian Peasant Party
663,Croatia,Croatian Democratic Alliance of Slavonia and Baranja,Croatian Democratic Assembly of Slavonia and Baranja
664,Croatia,Croatian Democratic Union,Croatian Democratic Union
665,Croatia,Croatian Civic Party,
666,Croatia,Croatian People's Party -- Liberal Democrats,Croatian People’s Party - Liberal Democrats
667,Croatia,Croatian People's Party,Croatian People’s Party
668,Croatia,Croatian Social Liberal Party,Croatian Social-Liberal Party
669,Croatia,Croatian Peasant's People's Party,Croatian Peasant Party
670,Croatia,Croatian Party of Rights,Croatian Party of Rights
671,Croatia,Croatian Party of Right of 1861,Croatian Party of Rights
672,Croatia,Croatian Party of Rights -- Dr. Ante Starcevic,
673,Croatia,Croatian Peasant Party,Croatian Peasant Party
674,Croatia,Croatian Party of Pensioners,Croatian Party of Pensioners
675,Croatia,Croatian Growth,
676,Croatia,Independent List -- PhD Ivan Grubisic,Independent List of Ivan Grubišić
677,Croatia,Istrian Democratic Assembly,Istrian Democratic Assembly
678,Croatia,Party of Liberal Democrats,
679,Croatia,Liberal Party,Liberal Party
680,Croatia,Milan Bandic 365 -- The Party of Labour and Solidarity,Milan Bandić 365 - The Party of Labour and Solidarity
681,Croatia,Bridge of Independent Lists,Bridge of Independent Lists
682,Croatia,People's Party -- Reformists ,People's Party - Reformists
683,Croatia,Sustainable Development of Croatia,
684,Croatia,Alliance of Primorje-Gorski,
685,Croatia,Pirate Party Croatia,
686,Croatia,Party of Democratic Action of Croatia,
687,Croatia, Independent Democratic Serb Party,Independent Democratic Serbian Party
688,Croatia,Social Democratic Party of Croatia,Social Democratic Party of Croatia
689,Croatia,Pensioners' Party,
690,Croatia,Democratic Party of Zagorje,
691,Croatia,Greens Together,
692,Croatia,Human Shield ,Human Shield
693,Croatia,abroad,
694,Croatia,ethnic,
695,Croatia,no party affiliation,
696,Croatia,one seat,
254,Czech Republic,Action of Dissatisfied Citizens,
255,Czech Republic,Czech National Social(ist) Party,
256,Czech Republic,Czech Social Democratic Party,Czech Social Democratic Party
257,Czech Republic,Workers' Party of Social Justice,
258,Czech Republic,Democratic Union,
259,Czech Republic,Pensioners for a Secure Living,
260,Czech Republic,European Democratic Party,
261,Czech Republic,Movement for Self-Governing Democracy -- Society for Moravia and Silesia,
262,Czech Republic,Movement for Social Justice,
263,Czech Republic,Club of committed Non-Party Members,
264,Czech Republic,Christian Democratic Party,Christian Democratic Party
265,Czech Republic,Christian Democratic Union -- People's Party,Christian and Democratic Union - Czech People's Party
266,Czech Republic,Communist Party of Czechoslovakia,Communist Party of Czechoslovakia
267,Czech Republic,Communist Party of Bohemia and Moravia,Communist Party of Bohemia and Moravia
268,Czech Republic,Left Bloc,Left Bloc
269,Czech Republic,LIDEM -- Liberal Democrats,
270,Czech Republic,Liberal Social Union,Liberal Social Union
271,Czech Republic,Independent Initiative,
272,Czech Republic,Independent,
273,Czech Republic,Civic Democratic Alliance,Civic Democratic Alliance
274,Czech Republic,Civic Democratic Party,Civic Democratic Party
275,Czech Republic,Civic Forum,Civic Forum
276,Czech Republic,Civic Movement | Free Democrats,
277,Czech Republic,Right Bloc,
278,Czech Republic,Czech Pirate Party,Czech Pirate Party
279,Czech Republic,Sovereignty -- Jana Bobosikova Bloc,
280,Czech Republic,Free Bloc,
281,Czech Republic,"Czechoslovak Businessmen's, Traders' and Farmers' Party",
282,Czech Republic,SNK European Democrats,
283,Czech Republic,Freedom and Direct Democracy Tomio Okamura,Freedom and Direct Democracy
284,Czech Republic,Party of Civic Rights -- Zemanovci,
285,Czech Republic,Party of the Friends of Beer,
286,Czech Republic,Rally for the Republic -- Republican Party of Czechoslovakia,Association for the Republic – Republican Party of Czechoslovakia
287,Czech Republic,Party of Free Citizens,
288,Czech Republic,Mayors and Independents,Mayors and Independents
289,Czech Republic,Green Party,Green Party
290,Czech Republic, Alliance of Farmers and the Countryside,
291,Czech Republic,Tradition Responsibility Prosperity 09,"Tradition, Responsibility, Prosperity 09"
292,Czech Republic,Dawn of Direct Democracy,
293,Czech Republic,Freedom Union,Freedom Union
294,Czech Republic,Public Affairs,Public Affairs
295,Czech Republic,no party affiliation,
296,Czech Republic,to be coded,
425,Estonia,Estonian Entrepreneur Party,
426,Estonia,Estonian Greens,Estonian Greens
427,Estonia,Estonian Greens -- 1991,
428,Estonia,Estonian Centre Party,Estonian Center Party
429,Estonia,Estonian Christian Democrats,
430,Estonia,Estonian Coalition Party,
431,Estonia,Estonian Citizens,
432,Estonia,Estonian Country Union,
433,Estonia,Estonian Rural Centre Party,Estonian Center Party
434,Estonia,Estonian Pensioners' Union,Estonian People’s Union
435,Estonia,Estonian Party of Pensioners and Families,
436,Estonia,Res Publica Party,
437,Estonia,Estonian National Independence Party,Estonian National Independence Party
438,Estonia,People's Union of Estonia,
439,Estonia,Estonian Reform Party,Estonian Reform Party
440,Estonia,Estonian Blue Party -- Democrats,
441,Estonia,Estonian Farmers Party,
442,Estonia,Free Party,Free Party
443,Estonia,Estonian Left Party,Estonian Reform Party
444,Estonia,Pro Patria Union,Pro Patria Union
445,Estonia,Independent -- Dimitri Klenski,
446,Estonia,Independent -- Indrek Tarand,
447,Estonia,Independent -- Martin Helme,
448,Estonia,Independent -- Silver Meikar,
449,Estonia,Independent -- Tanel Talve,
450,Estonia,Union of Pro Patria and Res Publica,
451,Estonia,Constitution Party -- Estonian United People's Party,
452,Estonia,Union of Farmers,
453,Estonia,Popular Front,
454,Estonia,"National Coalition Party ""Pro Patria""",National Coalition Pro Patria
455,Estonia,Social Democratic Party | Moderates,
456,Estonia,Independent Royalists,
457,Estonia,Future Estonia | Independence,
458,Estonia,Russian Party in Estonia,
459,Estonia,People's Party of Republicans and Conservatives,
460,Estonia,no party affiliation,
461,Estonia,to be coded,
697,Hungary,Agrarian Alliance,Agrarian Alliance
698,Hungary,Democratic Coalition,Democratic Coalition
699,Hungary,Together -- Party for a New Era,
700,Hungary,Independent Small Holders Party,Independent Smallholders’ Party
701,Hungary,Fidesz -- Hungarian Civic Party / Christian Democratic People's Party,
702,Hungary,Fidesz -- Hungarian Civic Union,
703,Hungary,Patriotic Elections Coalition,
704,Hungary,Jobbik Movement for a Better Hungary,Movement for a Better Hungary
705,Hungary,Christian Democratic People's Party,Christian Democratic People’s Party
706,Hungary,Republican Party,
707,Hungary,Politics Can Be Different,Politics Can Be Different
708,Hungary,Hungarian Democratic Forum,Hungarian Democratic Forum
709,Hungary,Hungarian Justice and Life Party,Hungarian Justice and Life Party
710,Hungary,Hungarian Workers' Party,
711,Hungary,Hungarian Socialist Party,Hungarian Socialist Party
712,Hungary,Social Democratic Party,Hungarian Social Democratic Party
713,Hungary,Dialogue for Hungary,
714,Hungary,Alliance of Free Democrats,Alliance of Free Democrats
715,Hungary,Entrepreneurs' Party,
716,Hungary,no seat,
717,Hungary,no party affiliation,
718,Hungary,one seat,
719,Hungary,to be coded,
1105,Latvia,Democratic Centre Party,Democratic Centre Party
1106,Latvia,Democratic Party Saimnieks,Democratic Party ‘Saimnieks’
1107,Latvia,New Democrats,
1108,Latvia,New Era,New Era
1109,Latvia,New Era Party,New Party
1110,Latvia,Conservative Party,
1111,Latvia,Christian Democratic Union,Christian Democratic Union
1112,Latvia,Labour and Justice Coalition ,
1113,Latvia,Equal Rights,Equal Rights
1114,Latvia,Latvian Development,
1115,Latvia,Latvian Way,
1116,Latvia,Latvian Democratic Labour Party,
1117,Latvia,Light of Latgale,
1118,Latvia,Communist Party of Latvia,
1119,Latvia,Latvias Party of Russian Citizens,
1120,Latvia,Latvian National Independence Movement,Latvian National Independence Movement
1121,Latvia,Latvia's First Party,Latvia’s First Party
1122,Latvia,Latvian First Party / Latvian Way Party,
1123,Latvia,Latvian Association of Regions,Latvian Association of Regions
1124,Latvia,Latvian Social Democratic Workers' Party,
1125,Latvia,Socialist Party of Latvia,
1126,Latvia,Popular Front of Latvia,
1127,Latvia,Latvian Unity Party,Latvian Unity Party
1128,Latvia,Union of Latvian Farmers ,
1129,Latvia,Latvian Green Party,
1130,Latvia,Farmers Union of Latvia,
1131,Latvia,Libertas.lv,
1132,Latvia,Political Association of the Underprivileged and Latvian Independence Party,
1133,Latvia,National Alliance / For Fatherland and Freedom / LNNK,
1134,Latvia,For Latvia from the Heart,For Latvia from the Heart
1135,Latvia,For Human Rights in a United Latvia,For Human Rights in a United Latvia
1136,Latvia,For a Good Latvia,For a Good Latvia
1137,Latvia,"Political Party ""Alternative""",
1138,Latvia,Civic Union,
1139,Latvia,Reform Party,
1140,Latvia,Harmony,
1141,Latvia,Society for Other Politics,
1142,Latvia,Social Democratic Welfare Party,
1143,Latvia,Social Democratic Party,Social Democartic Party Harmony
1144,Latvia,For Fatherland and Freedom,For Fatherland and Freedom
1145,Latvia,People's Movement for Latvia -- Siegerist Party,Popular Movement for Latvia-Zigerista Party
1146,Latvia,People's Party,People’s Party
1147,Latvia,Political Union of Economists,
1148,Latvia,National Harmony Party,National Harmony Party
1149,Latvia,Unity,Unity
1150,Latvia,All For Latvia!,
1151,Latvia,United for Latvia,
1152,Latvia,Green and Farmers' Union,Greens' and Farmers’ Union
1153,Latvia,no party affiliation,
1154,Latvia,to be coded,
1021,Lithuania,The Way of Courage,The Way of Courage
1022,Lithuania,Labour Party,Labour Party
1023,Lithuania,Young Lithuania,
1024,Lithuania,Christian Democratic Union,
1025,Lithuania,Christian Conservative Social Union,
1026,Lithuania,Lithuanian Centre Party,Lithuanian Peasants Party
1027,Lithuania,Centre Union of Lithuania,Centre Movement of Lithuania
1028,Lithuania,Democratic Labour Party of Lithuania,
1029,Lithuania,Lithuanian Democratic Party,Lithuanian Democratic Party
1030,Lithuania,Lithuanian Christian Democrats,Lithuanian Christian Democratic Party
1031,Lithuania,Communist Party of Lithuania,
1032,Lithuania,Lithuanian Liberty League,
1033,Lithuania,Election Action of Lithuania's Poles,Election Action of Lithuania’s Poles
1034,Lithuania,Lithuanian Freedom Union (Liberals),
1035,Lithuania,Lithuanian Liberty Union,Lithuanian Liberal Union
1036,Lithuania,Liberal Union of Lithuania,
1037,Lithuania,Lithuanian Womens Party -- New Democratic Party,
1038,Lithuania,Union of Lithuanian Political Prisoners and Deportees,Lithuanian Union of Political Prisoners and Deportees
1039,Lithuania,Liberals Movement of the Republic of Lithuania,
1040,Lithuania,Lithuanian Russian Union,
1041,Lithuania,Lithuanian Social Democratic Party,Lithuanian Social Democratic Party
1042,Lithuania,Lithuanian Social Democratic Party -- 1989,Lithuanian Social Democratic Party
1043,Lithuania,Alliance of the Lithuanian National Minorities,
1044,Lithuania,Lithuanian National Union List,Lithuanian National Union
1045,Lithuania,Lithuanian Party of Economy,
1046,Lithuania,Lithuanian Peasant Union,Lithuanian Centre Union
